use_idf	max_df	tf-bias	use_hidden_layer	num_epochs	recall@max_len	precision@10	distribution_diff	document_frequency
True	0.02	0.0	False	5	0.026339952521180033	0.1259595979636586	0.5467925539738765	0.036372592773366
False	0.02	0.0	False	5	0.02629165821011286	0.1255936818451699	0.542860418897873	0.036292374228713384
True	0.02	0.5	False	5	0.026228383795345086	0.12420645488089012	0.5410110032592059	0.036602137570381194
False	0.02	0.5	False	5	0.026204417571359592	0.12368903357553099	0.5418783925272331	0.036512311669420774
True	0.02	1.0	False	5	0.026108099148907743	0.1220067809463344	0.538282620577941	0.03697108562620694
False	0.02	1.0	False	5	0.02608607788493364	0.12116315004889022	0.5370723987050892	0.03679086024020247
True	0.02	1.5	False	5	0.025947202636957285	0.11914298647169923	0.5326081268966141	0.03731636540097857
False	0.02	1.5	False	5	0.02589556736801743	0.11832940662310637	0.5334010639468306	0.037251566637943725
True	0.02	2.0	False	5	0.02573690839312753	0.11592980007589906	0.5284453994802241	0.03792315678967711
False	0.02	2.0	False	5	0.025659481527102755	0.1146309946857603	0.5275374882614043	0.037826664528884744
True	0.02	-999.0	False	5	0.02566149966615638	0.1154119784961407	0.5240215265733718	0.03767982251508224
False	0.02	-999.0	False	5	0.025674413819946257	0.11622770792060777	0.522730900555837	0.037736247958368926
True	0.02	0.0	False	10	0.025676697283095237	0.11658836053987105	0.5252767560188724	0.03755973963484537
False	0.02	0.0	False	10	0.02568282655696181	0.11690042277514502	0.5270994903087592	0.037381962268808355
True	0.02	0.5	False	10	0.02567950305765926	0.11692597736353359	0.5289590591172747	0.03730632021396956
False	0.02	0.5	False	10	0.02567846668831512	0.11692968874001376	0.5308568365941083	0.03716379345246251
True	0.02	1.0	False	10	0.025661472828086507	0.11652230680466814	0.5311817664195769	0.037162648257077116
False	0.02	1.0	False	10	0.025642454862500125	0.11628746209129964	0.5327016365827537	0.03704609028498761
True	0.02	1.5	False	10	0.025608095726713898	0.11549586897998221	0.531691452768638	0.037155614551296
False	0.02	1.5	False	10	0.02556926995037858	0.11496981935112194	0.5324940921718451	0.037034394294196867
True	0.02	2.0	False	10	0.02551738169770526	0.11405105312028226	0.5309246894951818	0.0372153092557628
False	0.02	2.0	False	10	0.025463264248990893	0.1132995952728705	0.5312715185299112	0.03712711242200401
True	0.02	-999.0	False	10	0.025443453198446393	0.11355710769335366	0.530532957536298	0.03705809513900575
False	0.02	-999.0	False	10	0.025438398392799533	0.1137875099568512	0.5300166114283131	0.037065038374051736
True	0.03	0.0	False	5	0.025710346118993123	0.11492185451680982	0.5302070790465944	0.037143602357279114
False	0.03	0.0	False	5	0.02596195067130241	0.11592878824979638	0.5294670691869404	0.03721319734361147
True	0.03	0.5	False	5	0.026185375871669803	0.1167270669372557	0.5290181411820996	0.037311816891009146
False	0.03	0.5	False	5	0.026395597004813802	0.11753661124211956	0.529246696391045	0.03736195654628505
True	0.03	1.0	False	5	0.026573784934512776	0.11792292051688565	0.5279429367272988	0.037521992023691816
False	0.03	1.0	False	5	0.026745535635168034	0.11843346594438468	0.5274883144613398	0.037540173468192
True	0.03	1.5	False	5	0.026877818992925396	0.11843968971318013	0.5254527564112795	0.03776219124981
False	0.03	1.5	False	5	0.02701178252240788	0.11867344407666555	0.5247613584232264	0.03778508334100916
True	0.03	2.0	False	5	0.027108190359469708	0.11833928918481325	0.5223649939674352	0.03805510107793891
False	0.03	2.0	False	5	0.027209676745182293	0.11832699029826206	0.5215850703474496	0.038096494467342326
